mapblklot,analysis_neighborhood,Historic,in_historic_district
6991039,Oceanview/Merced/Ingleside,0,0
6279001,Excelsior,0,0
1522039,Outer Richmond,0,0
0814251,Tenderloin,0,0
5730014,Bernal Heights,0,0
5946019,Excelsior,0,0
4075020,Potrero Hill,0,0
6571011,Mission,0,0
3752109,South of Market,0,0
6967020,Outer Mission,0,0
5676022,Bernal Heights,0,0
6011020,Excelsior,0,0
7009019,Oceanview/Merced/Ingleside,0,0
3642021,Mission,0,0
4102021,Potrero Hill,0,0
3749187,Financial District/South Beach,0,0
4098041,Potrero Hill,0,0
4081075,Mission,0,0
5908028,Excelsior,0,0
7129039,Oceanview/Merced/Ingleside,0,0
7069049,Oceanview/Merced/Ingleside,0,0
0774022,Western Addition,0,0
6485036,Excelsior,0,0
5649011,Bernal Heights,0,0
5647024,Bernal Heights,0,0
3545040,Mission,1,1
7056010,Oceanview/Merced/Ingleside,0,0
6489024,Excelsior,0,0
6526036,Mission,1,1
0115055,North Beach,0,0
5670030,Bernal Heights,0,0
3595032,Mission,0,0
0212045,Nob Hill,0,0
6516025,Mission,0,0
6345003,Excelsior,0,0
7070031,Oceanview/Merced/Ingleside,0,0
7017017,Oceanview/Merced/Ingleside,0,0
3735065,Financial District/South Beach,0,0
3707064,Financial District/South Beach,1,1
7037015,Oceanview/Merced/Ingleside,0,0
6233043,Visitacion Valley,0,0
0167010,Financial District/South Beach,0,0
6530043,Mission,0,0
5870025,Excelsior,0,0
5921021,Portola,0,0
4052006,Potrero Hill,1,1
0275011,Nob Hill,1,1
5978003,Portola,0,0
7166024,Outer Mission,0,0
0310020,Financial District/South Beach,1,1
4081026,Mission,0,0
6274020,Excelsior,0,0
5686017,Bernal Heights,0,0
3212040,Outer Mission,0,0
6688013,Bernal Heights,0,0
7006039,Oceanview/Merced/Ingleside,0,0
3719450,Financial District/South Beach,0,0
4073017,Potrero Hill,0,0
3208A001F,Outer Mission,0,0
4093062,Potrero Hill,0,0
6407001,Excelsior,0,0
7381005,Lakeshore,0,0
6234012,Visitacion Valley,0,0
0052012,North Beach,0,0
5810005,Bernal Heights,0,0
7069017,Oceanview/Merced/Ingleside,0,0
5054A130,Bayview Hunters Point,1,1
5933006A,Portola,0,0
7331133,Lakeshore,1,1
5927025,Portola,0,0
5353A007,Bayview Hunters Point,0,0
4160045,Potrero Hill,0,0
5737023,Bernal Heights,0,0
3211037,Outer Mission,0,0
6688045,Bernal Heights,0,0
0318004,Tenderloin,1,1
4063003D,Potrero Hill,0,0
5651009,Bernal Heights,0,0
0686023B,Japantown,0,0
0088019,North Beach,0,0
6323008A,Visitacion Valley,0,0
3722257,Financial District/South Beach,1,1
3598019,Mission,1,1
7143022,Outer Mission,0,0
5319052,Bayview Hunters Point,0,0
3983044,Potrero Hill,0,0
6019007A,Excelsior,0,0
5939009,Excelsior,0,0
4143049,Mission,1,1
5900A003,Portola,0,0
5321021,Bayview Hunters Point,0,0
5961041,Excelsior,0,0
4788022A,Bayview Hunters Point,0,0
5079003,Bayview Hunters Point,1,1
3752501,South of Market,0,0
3212027,Outer Mission,0,0
0320001,Tenderloin,1,1
6120020B,Portola,0,0
6990035,Oceanview/Merced/Ingleside,0,0
5334064,Bayview Hunters Point,0,0
1255034,Haight Ashbury,0,0
0733018,Western Addition,0,0
5720042,Bernal Heights,0,0
3209020I,Outer Mission,0,0
5353008,Bayview Hunters Point,0,0
6402003,Excelsior,0,0
6243006,Visitacion Valley,0,0
6007027C,Excelsior,0,0
0157075,Nob Hill,0,0
7059036,Oceanview/Merced/Ingleside,0,0
6532032A,Mission,0,0
5966007,Excelsior,0,0
5382011,Bayview Hunters Point,0,0
0707021,Western Addition,0,0
0711012,Western Addition,0,0
0318023,Tenderloin,1,1
3967005,Mission,0,0
3546045,Mission,0,0
3642070,Mission,0,0
5549102,Bernal Heights,0,0
0740036,Tenderloin,1,1
3732173,South of Market,0,0
3753241,South of Market,0,0
3786104,South of Market,0,0
3784109,South of Market,0,0
5871012,Excelsior,0,0
3978002,Potrero Hill,0,0
5574012,Bernal Heights,0,0
4022029,Mission,0,0
0280032,Nob Hill,1,1
5739019,Bernal Heights,0,0
5956024,Excelsior,0,0
3733148,South of Market,0,0
4262002,Mission,0,0
0128021,Nob Hill,0,0
5655006,Bernal Heights,0,0
7091006,Oceanview/Merced/Ingleside,0,0
7054019,Oceanview/Merced/Ingleside,0,0
6094006C,Excelsior,0,0
6165012,Visitacion Valley,0,0
0080011,Financial District/South Beach,0,0
3731202,South of Market,0,0
4073024,Potrero Hill,0,0
6092008,Excelsior,0,0
7106042D,Oceanview/Merced/Ingleside,0,0
4336002,Mission,0,0
5054ACOMB,Bayview Hunters Point,1,1
4337001D,Mission,0,0
0296009,Nob Hill,1,1
5683005,Bernal Heights,0,0
4075004,Potrero Hill,0,0
6782008,Outer Mission,0,0
4083022,Mission,0,0
5355036A,Bayview Hunters Point,0,0
6248039,Visitacion Valley,0,0
5744005A,Bernal Heights,0,0
4621018,Bayview Hunters Point,0,0
6500002,Excelsior,0,0
7009011,Oceanview/Merced/Ingleside,0,0
3731221,South of Market,1,1
7031012D,Outer Mission,0,0
4991282,Bayview Hunters Point,0,0
5523012A,Bernal Heights,1,1
3995035,Potrero Hill,0,0
3749003,Financial District/South Beach,0,0
5471020,Bayview Hunters Point,0,0
3180770,West of Twin Peaks,0,0
3702058,South of Market,0,0
0306029,Tenderloin,1,1
5802041,Bernal Heights,0,0
7054036D,Oceanview/Merced/Ingleside,0,0
5699009,Bernal Heights,0,0
5465026,Portola,0,0
6191061,Visitacion Valley,0,0
6421028,Excelsior,0,0
6083006A,Excelsior,0,0
5967018,Excelsior,0,0
7116022,Oceanview/Merced/Ingleside,0,0
0148032,Chinatown,0,0
4085052,Mission,0,0
4167013,Potrero Hill,0,0
4763021A,Bayview Hunters Point,0,0
6786003,Outer Mission,0,0
5644007,Bernal Heights,0,0
4266067,Mission,0,0
4757050,Bayview Hunters Point,0,0
7054048,Oceanview/Merced/Ingleside,0,0
4142007,Mission,0,0
7047050,Oceanview/Merced/Ingleside,0,0
3511044,Mission,1,1
0707002,Western Addition,0,0
7007020,Oceanview/Merced/Ingleside,0,0
4591A009,Bayview Hunters Point,0,0
7130028,Oceanview/Merced/Ingleside,0,0
5839020,Bernal Heights,0,0
3517033,South of Market,1,1
7110A009,Outer Mission,0,0
3726191,South of Market,0,0
3749184,Financial District/South Beach,0,0
6965A013,Outer Mission,0,0
5353A011C,Bayview Hunters Point,0,0
0116023,North Beach,0,0
0287005,Financial District/South Beach,1,1
4160040,Potrero Hill,0,0
5874019,Portola,0,0
7064A024A,Outer Mission,0,0
5358006,Bayview Hunters Point,0,0
7067040,Oceanview/Merced/Ingleside,0,0
7153052,Outer Mission,0,0
3519106,South of Market,1,1
6518010,Mission,0,0
7044A006E,Outer Mission,0,0
0166081,Financial District/South Beach,0,0
4283B013,Potrero Hill,0,0
5667006,Bernal Heights,0,0
0162026,North Beach,0,0
5335C002E,Bayview Hunters Point,0,0
3753177,South of Market,0,0
5361020,Bayview Hunters Point,0,0
6089024A,Excelsior,0,0
6990015,Oceanview/Merced/Ingleside,0,0
5870036,Excelsior,0,0
6968038,Outer Mission,0,0
3144B034,Outer Mission,0,0
5633015,Bernal Heights,0,0
