mapblklot,analysis_neighborhood,Height_Ft
5067A001A,Visitacion Valley,40
4757011,Bayview Hunters Point,40
7029A009,Outer Mission,40
5342021,Bayview Hunters Point,40
0254028,Nob Hill,65
5721009,Bernal Heights,40
5335A029,Bayview Hunters Point,40
5661051,Bernal Heights,40
0322A001,Tenderloin,80
3208A001G,Outer Mission,40
6072006E,Excelsior,40
2630066,Inner Sunset,40
5937025,Excelsior,40
0755009,Western Addition,65
6486004,Excelsior,40
0284026,Nob Hill,65
4083008,Mission,68
6190083,Visitacion Valley,40
6282009,Excelsior,40
3611105,Mission,40
5835005,Bernal Heights,40
4146051,Mission,40
0677127,Pacific Heights,40
6194011,Visitacion Valley,40
6079019,Excelsior,40
5334035,Bayview Hunters Point,40
6724008,Outer Mission,40
5860027,Portola,40
6252004,Visitacion Valley,40
4100032,Potrero Hill,40
5900A021,Portola,40
6423046,Excelsior,40
3777037,South of Market,65
3741047,Financial District/South Beach,200
7043005F,Outer Mission,40
3754097,South of Market,85
3575139,Mission,58
4208045,Mission,40
4272019,Mission,40
4172075,Potrero Hill,45
5320018,Bayview Hunters Point,40
6692067,Bernal Heights,40
6419031,Excelsior,40
3502149,Mission,50
3738018,Financial District/South Beach,85
6784019,Outer Mission,40
6481001,Excelsior,40
6301017,Visitacion Valley,40
3569113,Mission,55
4096114,Potrero Hill,40
7001031,Oceanview/Merced/Ingleside,40
7308003,Lakeshore,130
7059008,Oceanview/Merced/Ingleside,40
3648009,Mission,40
5863002,Portola,40
6089032A,Excelsior,40
5613006,Bernal Heights,40
5646004,Bernal Heights,40
4151016,Mission,40
5258064,Bayview Hunters Point,40
0118028,Chinatown,40
3783011,South of Market,68
5647029,Bernal Heights,40
0838037,Hayes Valley,40
